ano,semestre,código da uc,uc,tipo de aula,turno,dia,hora inicio,minutos inicio,hora fim,minutos fim
1,1,8501Q5,Álgebra Linear CC,T,1,1,9,0,10,30
1,1,8501Q5,Álgebra Linear CC,T,1,3,9,0,10,30
1,1,8501Q5,Álgebra Linear CC,TP,1,4,9,0,12,0
1,1,8501Q5,Álgebra Linear CC,TP,2,4,14,0,17,0
1,1,8501Q6,Cálculo,TP,1,3,10,30,12,30
1,1,8501Q6,Cálculo,TP,1,5,9,0,11,0
1,1,8501Q6,Cálculo,TP,2,1,10,30,12,30
1,1,8501Q6,Cálculo,TP,2,4,11,0,13,0
1,1,8501Q8,Programação Funcional,T,1,1,11,0,13,0
1,1,8501Q8,Programação Funcional,TP,1,1,11,0,13,0
1,1,8501Q8,Programação Funcional,TP,2,2,11,0,13,0
1,1,8501Q8,Programação Funcional,TP,3,5,9,0,11,0
1,1,8501Q7,Tópicos de Matemática,T,1,1,14,0,16,0
1,1,8501Q7,Tópicos de Matemática,TP,1,5,14,0,17,0
1,1,8501Q7,Tópicos de Matemática,TP,2,4,8,0,11,0
1,1,85U004,Matemática das Coisas,TP,1,2,18,0,20,0
1,1,85U020,"Educação, Cidadania e Direitos Humanos",TP,1,2,18,0,20,0
1,1,85U028,Inglês Académico,TP,1,2,18,0,20,0
1,1,85U170,Cidadania Digital,TP,1,2,18,0,20,0
1,1,85U171,"Sustentabilidade Ambiental, Social e Económica",TP,1,2,18,0,20,0
1,1,85U238,Literacia Fotográfica da Física à Mensagem,TP,1,2,18,0,20,0
1,1,85U239,Substâncias que Mudaram o Mundo,TP,1,2,18,0,20,0
1,1,85U240,Tópicos de Astronomia e Cosmologia,TP,1,2,18,0,20,0
1,1,85U253,Introdução à Língua e Cultura Russa,TP,1,2,18,0,20,0
1,1,85U255,Bilinguismo,TP,1,2,18,0,20,0
1,1,85U274,"Democracia Plena, Responsabilidade e Estado de Direito",TP,1,2,18,0,20,0
1,1,85U275,Direito Laboral,TP,1,2,18,0,20,0
1,1,85U278,Princípios de Gestão de Inventários,TP,1,2,18,0,20,0
1,1,85U79H,Matemática das Coisas,TP,1,2,18,0,20,0
1,1,85U79I,A China no Mundo,TP,1,2,18,0,20,0
1,1,85U79J,Desporto e Saúde,TP,1,2,18,0,20,0
1,2,8502N6,Sistemas de Computação,T,1,1,11,0,12,0
1,2,8502N6,Sistemas de Computação,T,1,3,9,0,10,0
